date,AAPL,MSFT,GOOGL,AMZN,META,NVDA
2021-04-19,99.24382959405592,100.67557616231124,100.82881096657457,98.52312957553774,99.03587756128994,100.17536933095275
2021-04-20,99.1796500729446,99.93963893669238,101.48863649427922,99.08729100227326,99.0374384182188,101.03103913974594
2021-04-21,98.6041679323533,100.34070228310429,100.81939969090787,99.89142139367092,99.10238978063747,100.98822315532439
2021-04-22,99.44970146696244,100.09235633547169,100.34982312950346,99.48679109513138,99.40179484405432,101.15819726843446
2021-04-23,99.88744845822823,101.91834659856738,100.11869757074415,99.17365514946535,98.8501882166407,101.75407794977234
2021-04-26,100.03402735182479,101.47664382667945,99.69729574286295,99.92851624481173,99.67644912212477,102.44049366473267
2021-04-27,100.09869735464521,101.44848462296368,99.75099613301366,100.50580666859568,99.73405332846082,102.87373572285196
2021-04-28,100.35609252200241,101.98814621216424,98.62008607558725,100.27468718049542,99.38481680088722,102.3754056772733
2021-04-29,101.51981814801414,101.24057948117407,99.34423060827572,98.89117957465557,99.07627309165532,102.4646893257113
2021-04-30,102.23113605195435,102.01694041978793,99.19558824995612,98.65349692949559,99.88766858857927,102.44030666235149
2021-05-03,101.06244762107255,101.02337150445155,99.34905462199366,98.52612219057309,100.19705035770063,101.84284207229129
2021-05-04,101.61390861465729,100.81772648586286,99.75635216589099,98.04861085061121,99.9501337664526,101.57668569641598
2021-05-05,101.77907390626106,100.21193568384305,99.53994374316638,98.20308975412635,100.08021049224158,101.88711032994631
2021-05-06,101.42718629885157,100.14033813328149,98.19775580811765,97.06528642283426,99.01916344248424,101.06971167034133
2021-05-07,100.78775606888112,99.92968928304752,99.31501187929351,96.87807651014232,99.69674958989786,100.409929354822
2021-05-10,99.99556441295012,99.63003663825101,99.95582382584884,95.52077911661712,100.01474134384307,100.57182109485059
2021-05-11,98.73989469943719,99.5811040233046,99.4270376331962,95.59656763100787,99.92541980755409,101.76009582277932
2021-05-12,97.89959133247305,99.68826049847371,99.56645864424706,96.60704858920158,100.55916739132446,102.01443250933089
2021-05-13,97.26885802363017,99.48197930959482,99.13269889861405,96.60010543482011,99.76120707912095,102.84696552980141
2021-05-14,96.09987168859672,98.6449891790909,99.3494080658013,97.21843945723751,101.33469020898585,105.23843298627875
2021-05-17,95.43262438648817,97.06878839419072,99.6569234060261,96.67991628418484,101.0944030190634,104.823775396675
2021-05-18,96.23438774542112,97.17511815521331,99.51445012497938,95.86671852618038,99.73291055377379,104.39988413018135
2021-05-19,97.60635743738692,97.27765611441981,100.30115516430529,95.48574298656196,98.79318287085252,103.59821152293773
2021-05-20,99.15060280809607,96.5120410369823,100.84197357654372,94.67245374080512,99.39986296743209,103.77957948890449
2021-05-21,99.09911973486952,95.98924949666959,101.18292074925456,94.31025524995262,98.41100263058995,102.70414183686319
2021-05-24,100.4056483949061,96.1569074234074,101.1339670662102,94.57013419268515,99.49086221657868,102.93242257890698
2021-05-25,101.22714172998634,96.41960059061957,102.31233454856607,94.64241537325108,98.45190907500144,101.74051012464886
2021-05-26,102.98445983290463,96.61125141736198,102.3488007925094,96.08364856032077,97.91832243489112,101.3611207523135
2021-05-27,102.8043753663293,96.7432814761112,102.3589451259126,96.47909967629857,99.16649399612683,101.57738542226807
2021-05-28,101.27447597758237,96.84182890773695,101.81401241251152,95.67755867202116,98.6110035992524,101.44896011558207
2021-05-31,100.4012922474871,97.05481041923967,101.61855950451685,95.61351636694704,99.59945786356127,102.08568856522085
2021-06-01,100.55791487629013,96.7860749497227,101.72062821207761,96.06729785582301,100.01939373366415,101.48715474340457
2021-06-02,100.77200966190509,98.78481533224017,103.29054608174908,95.44250248575345,99.8197457738284,100.33611297527914
2021-06-03,100.91959000111119,99.63657508512944,102.58090129161018,94.84361833007739,98.01556483697647,100.099324533095
2021-06-04,100.29177793772304,98.74192239096556,102.2982778900074,93.33197459232446,96.67792568558457,101.61509393371311
2021-06-07,99.17188800858631,99.95799671774715,104.44687104708679,92.23460433014012,96.15719145125303,101.6433061227273
2021-06-08,98.74464019286987,100.11957658187833,105.47507056009798,92.88766893126848,96.21183836634427,101.89842637440098
2021-06-09,98.29782927083333,99.64405099811587,105.39362964553996,92.2330469174688,96.32182480399347,102.45753624390122
