date,portfolio_log_return,portfolio_level,portfolio_drawdown,portfolio_realized_vol_20d,avg_pairwise_corr_20d,breadth_above_50dma,cross_sectional_dispersion_20d,portfolio_return_20d,lead_lag_concentration,stress_propagation_score,forward_vol_20d,forward_drawdown_20d,regime_label
2021-04-20,0.0021283371216370326,1.0021306036387743,0.0,,,0.0,,,,-0.8244470678240873,0.047736664642952314,-0.0193638028452201,
2021-04-21,-1.9330985967958014e-05,1.0021112316533778,-1.9330799125527598e-05,,,0.0,,,,-0.8244470678240873,0.04780266914309871,-0.01936380284521999,
2021-04-22,0.0003385458896871067,1.0024505497259917,0.0,,,0.0,,,,-0.8244470678240873,0.048596471408658706,-0.01936380284521999,
2021-04-23,0.00288682196019178,1.005348627090985,0.0,,,0.0,,,,-0.8244470678240873,0.048824413284281415,-0.021389294731350428,
2021-04-26,0.0025891660214747425,1.0079550143245635,0.0,,,0.0,,,,-0.8244470678240873,0.0516585630344179,-0.021389294731350428,
2021-04-27,0.001910945410397602,1.0098830028868164,0.0,,,0.0,,,,-0.8244470678240873,0.050883418507066215,-0.021356509588763783,
2021-04-28,-0.0023657350799829815,1.0074967110203452,-0.0023629389341635054,,,0.0,,,,-0.8244470678240873,0.053434579243599005,-0.021356509588763783,
2021-04-29,-0.0007737687509387451,1.006717443074157,-0.003134580742135906,,,0.0,,,,-0.8244470678240873,0.054839640768436025,-0.021356509588763783,
2021-04-30,0.0031060026713256583,1.009849171201867,-3.350059843842956e-05,,,0.0,,,,-0.8244470678240873,0.05646137743232145,-0.017468878512969632,
2021-05-03,-0.0039645997295418844,1.0058534494033677,-0.0039901191246213275,,,0.0,,,,-0.8244470678240873,0.05556201367038496,-0.017068069430449584,
2021-05-04,-0.00040785207094747494,1.0054432936380837,-0.0043962609886902815,,,0.0,,,,-0.8244470678240873,0.05566049142196095,-0.01696186475876771,
2021-05-05,-0.00010804302021908778,1.0053346683761863,-0.0045038232128160605,,,0.0,,,,-0.8244470678240873,0.0569104224382765,-0.010328700342513097,
2021-05-06,-0.008020184128068783,0.997303946207584,-0.012455954445489636,,,0.0,,,,-0.8244470678240873,0.051420043842826495,-0.010328700342513097,
2021-05-07,0.00020384259448983735,0.9975072599527706,-0.012254630386558607,,,0.0,,,,-0.8244470678240873,0.05466775406751263,-0.010460888424598802,
2021-05-10,-0.0022960860099591565,0.9952195249116518,-0.014519977000551743,,,0.0,,,,-0.8244470678240873,0.05433761891750094,-0.010460888424598691,
2021-05-11,-0.0011311183214458194,0.9940944502893772,-0.015634041321922143,,,0.0,,,,-0.8244470678240873,0.05523610415863262,-0.010460888424598802,
2021-05-12,0.002210548353868358,0.996294374763935,-0.013455645935259275,,,0.0,,,,-0.8244470678240873,0.05493355757075529,-0.010460888424598802,
2021-05-13,-0.002135308260728793,0.994169248862297,-0.015559974749154826,,,0.0,,,,-0.8244470678240873,0.054499655583328914,-0.010460888424598691,
2021-05-14,0.00444335246891366,0.9985965219320004,-0.011176028235501345,,,0.0,,,,-0.8244470678240873,0.05685277410699381,-0.010460888424598802,
2021-05-17,-0.0053102052574066265,0.9933078238949462,-0.01641296956626559,0.0490128196294281,0.04535761108268789,0.0,0.006368960694561836,-0.006714669123221532,,-0.8244470678240873,0.0536818032677329,-0.010460888424598802,Rotation / Transition
2021-05-18,-0.003004582633378513,0.9903278275221773,-0.0193638028452201,0.04897678452441785,0.032396702179203984,0.0,0.006454770584228761,-0.011847588878237078,,-0.8129045032410745,0.052974731241463714,-0.010460888424598802,Rotation / Transition
2021-05-19,0.00032121865687987733,0.9906459903939943,-0.01904875360594438,0.049044503712708264,0.026810248830250703,0.0,0.006634758373550787,-0.011507039235389241,,-0.7587005149356157,0.052975487090206524,-0.010460888424598913,Rotation / Transition
2021-05-20,0.0020817732813820378,0.9927104388593606,-0.017004508421635922,0.04985892765300897,0.026079410577190352,0.0,0.00684245511154156,-0.009763811843694313,0.28849743960904994,-0.685369856893649,0.053329634251045276,-0.010460888424598691,Rotation / Transition
